Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,171.0,171.699997,168.0,168.550003,168.550003,966921
2019-01-03,169.300003,170.100006,165.399994,166.199997,166.199997,737133
2019-01-04,168.100006,171.899994,168.100006,170.75,170.75,1587545
2019-01-07,173.0,178.300003,173.0,175.25,175.25,1718423
2019-01-08,176.300003,180.5,176.100006,179.350006,179.350006,2812302
2019-01-09,181.899994,183.899994,180.300003,183.100006,183.100006,1704199
2019-01-10,183.649994,186.800003,183.399994,185.550003,185.550003,1395744
2019-01-11,186.300003,187.550003,179.449997,180.300003,180.300003,1675130
2019-01-14,180.550003,187.399994,177.550003,182.300003,182.300003,1394079
2019-01-15,183.199997,185.800003,181.449997,185.399994,185.399994,987729
2019-01-16,185.5,187.300003,184.100006,185.300003,185.300003,1125134
2019-01-17,186.300003,187.350006,183.399994,184.800003,184.800003,923301
2019-01-18,185.5,185.600006,181.399994,183.100006,183.100006,678382
2019-01-21,183.300003,184.850006,180.399994,181.399994,181.399994,976947
2019-01-22,181.399994,182.649994,176.050003,180.449997,180.449997,1382085
2019-01-23,182.0,182.699997,178.600006,180.25,180.25,802066
2019-01-24,179.699997,180.25,173.75,175.350006,175.350006,1713994
2019-01-25,176.300003,178.850006,172.0,173.199997,173.199997,1099193
2019-01-28,174.300003,175.25,169.550003,171.949997,171.949997,840853
2019-01-29,171.600006,174.800003,170.949997,173.449997,173.449997,727422
2019-01-30,174.5,176.699997,173.149994,174.300003,174.300003,789934
2019-01-31,175.300003,183.5,175.300003,181.25,181.25,952156
2019-02-01,182.0,185.899994,179.600006,181.75,181.75,1322530
2019-02-04,181.0,183.600006,178.199997,180.300003,180.300003,956049
2019-02-05,180.0,181.0,174.399994,175.550003,175.550003,1183820
2019-02-06,177.0,179.300003,171.899994,178.199997,178.199997,991057
2019-02-07,179.449997,184.949997,179.0,182.899994,182.899994,1391764
2019-02-08,164.649994,164.649994,141.899994,151.300003,151.300003,8155068
2019-02-11,150.5,153.100006,145.800003,152.449997,152.449997,2158217
2019-02-12,153.600006,154.199997,150.75,151.449997,151.449997,1557397
2019-02-14,155.800003,160.949997,153.600006,159.649994,159.649994,1945041
2019-02-15,160.0,161.649994,153.350006,161.100006,161.100006,1704337
2019-02-18,162.300003,163.449997,159.199997,163.0,163.0,1406407
2019-02-19,164.800003,165.800003,161.100006,163.5,163.5,1129885
2019-02-20,165.0,166.5,163.850006,164.850006,164.850006,970839
2019-02-21,166.0,170.600006,165.199997,169.699997,169.699997,1026534
2019-02-22,170.0,175.25,168.0,174.550003,174.550003,1467268
2019-02-25,175.449997,177.550003,173.75,175.550003,175.550003,1240408
2019-02-26,173.550003,183.350006,172.649994,182.699997,182.699997,1906259
2019-02-27,183.350006,186.050003,176.199997,177.199997,177.199997,1506034
2019-02-28,179.149994,181.5,176.550003,177.850006,177.850006,1093755
2019-03-01,179.199997,184.0,177.350006,180.100006,180.100006,2069035
2019-03-05,183.949997,198.0,181.5,194.0,194.0,4662031
2019-03-06,195.25,198.300003,184.75,188.550003,188.550003,1918813
2019-03-07,191.899994,193.399994,187.899994,189.199997,189.199997,1599345
2019-03-08,188.300003,188.300003,180.5,181.649994,181.649994,1771451
2019-03-11,181.649994,184.449997,180.949997,182.149994,182.149994,1067848
2019-03-12,184.0,186.0,183.800003,184.75,184.75,1099984
2019-03-13,184.75,184.75,180.449997,181.600006,181.600006,854216
2019-03-14,181.0,182.300003,177.649994,179.699997,179.699997,1026593
2019-03-15,180.0,181.800003,177.550003,180.199997,180.199997,865686
2019-03-18,180.550003,184.649994,179.649994,182.300003,182.300003,875468
2019-03-19,182.0,184.5,180.899994,182.800003,182.800003,883855
2019-03-20,183.399994,183.550003,179.300003,179.850006,179.850006,661218
2019-03-22,180.25,182.0,174.899994,175.399994,175.399994,972209
2019-03-25,174.399994,174.399994,171.0,171.350006,171.350006,1416422
2019-03-26,171.699997,173.600006,171.699997,173.100006,173.100006,744501
2019-03-27,174.0,175.0,169.0,169.899994,169.899994,911314
2019-03-28,169.699997,171.449997,167.5,170.600006,170.600006,952719
2019-04-01,176.0,189.649994,176.0,187.149994,187.149994,2926691
2019-04-02,188.75,204.0,185.25,202.800003,202.800003,6793194
2019-04-03,205.300003,208.800003,199.0,201.100006,201.100006,5047368
